;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;17/04/2025;0,3501;DIVIDENDO;-							  ;1;NEOE3
1;17/12/2024;0,2605;JRS CAP PROPRIO;-							  ;1;NEOE3
2;01/07/2024;0,1649;JRS CAP PROPRIO;20/12/2024							  ;1;NEOE3
3;19/04/2024;0,2484;DIVIDENDO;20/12/2024							  ;1;NEOE3
4;04/01/2024;0,4165;JRS CAP PROPRIO;20/12/2024							  ;1;NEOE3
5;30/06/2023;0,3193;JRS CAP PROPRIO;27/12/2023							  ;1;NEOE3
6;27/04/2023;0,5838;DIVIDENDO;27/12/2023							  ;1;NEOE3
7;04/01/2023;0,2540;JRS CAP PROPRIO;27/12/2023							  ;1;NEOE3
8;05/07/2022;0,1377;JRS CAP PROPRIO;28/12/2022							  ;1;NEOE3
9;25/04/2022;0,5291;DIVIDENDO;28/12/2022							  ;1;NEOE3
10;05/01/2022;0,1318;JRS CAP PROPRIO;30/03/2022							  ;1;NEOE3
11;01/07/2021;0,1406;JRS CAP PROPRIO;21/12/2021							  ;1;NEOE3
12;12/04/2021;0,1653;DIVIDENDO;21/12/2021							  ;1;NEOE3
13;06/01/2021;0,2197;JRS CAP PROPRIO;30/04/2021							  ;1;NEOE3
14;18/06/2020;0,2294;JRS CAP PROPRIO;10/12/2020							  ;1;NEOE3
15;06/01/2020;0,1794;JRS CAP PROPRIO;30/06/2020							  ;1;NEOE3
16;03/07/2019;0,2785;JRS CAP PROPRIO;-							  ;1;NEOE3
17;04/01/2019;0,2992;JRS CAP PROPRIO;27/02/2019							  ;1;NEOE3
18;29/10/2018;0,0544;DIVIDENDO;14/11/2018							  ;1;NEOE3
19;03/07/2018;0,1312;JRS CAP PROPRIO;01/08/2018							  ;1;NEOE3
20;;;;;;NEOE3
21;2025;0,350;;;;NEOE3
22;2024;1,090;;;;NEOE3
23;2023;1,157;;;;NEOE3
24;2022;0,799;;;;NEOE3
25;2021;0,526;;;;NEOE3
26;2020;0,409;;;;NEOE3
27;2019;0,578;;;;NEOE3
28;2018;0,186;;;;NEOE3
