;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;30/06/2023;0,3193;JRS CAP PROPRIO;31/12/2023 ;1;NEOE3
1;27/04/2023;0,5838;DIVIDENDO;31/12/2023 ;1;NEOE3
2;04/01/2023;0,2540;JRS CAP PROPRIO;31/12/2023 ;1;NEOE3
3;05/07/2022;0,1377;JRS CAP PROPRIO;28/12/2022 ;1;NEOE3
4;25/04/2022;0,5291;DIVIDENDO;28/12/2022 ;1;NEOE3
5;05/01/2022;0,1318;JRS CAP PROPRIO;30/03/2022 ;1;NEOE3
6;01/07/2021;0,1406;JRS CAP PROPRIO;21/12/2021 ;1;NEOE3
7;12/04/2021;0,1653;DIVIDENDO;21/12/2021 ;1;NEOE3
8;06/01/2021;0,2197;JRS CAP PROPRIO;30/04/2021 ;1;NEOE3
9;18/06/2020;0,2294;JRS CAP PROPRIO;10/12/2020 ;1;NEOE3
10;06/01/2020;0,1794;JRS CAP PROPRIO;30/06/2020 ;1;NEOE3
11;03/07/2019;0,2785;JRS CAP PROPRIO;- ;1;NEOE3
12;04/01/2019;0,2992;JRS CAP PROPRIO;27/02/2019 ;1;NEOE3
13;29/10/2018;0,0544;DIVIDENDO;14/11/2018 ;1;NEOE3
14;03/07/2018;0,1312;JRS CAP PROPRIO;01/08/2018 ;1;NEOE3
15;;;;;;NEOE3
16;2023;1,157;;;;NEOE3
17;2022;0,799;;;;NEOE3
18;2021;0,526;;;;NEOE3
19;2020;0,409;;;;NEOE3
20;2019;0,578;;;;NEOE3
21;2018;0,186;;;;NEOE3
