;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;30/04/2014;0,0681;DIVIDENDO;-							  ;1;JFEN3
1;30/04/2013;0,0611;DIVIDENDO;-							  ;1;JFEN3
2;02/05/2012;0,1584;DIVIDENDO;-							  ;1;JFEN3
3;29/04/2011;0,1383;DIVIDENDO;-							  ;1;JFEN3
4;30/04/2007;2,4500;DIVIDENDO;-							  ;1000;JFEN3
5;20/04/2006;0,4000;DIVIDENDO;-							  ;1000;JFEN3
6;13/05/2005;0,5700;DIVIDENDO;-							  ;1000;JFEN3
7;20/04/2004;1,5000;DIVIDENDO;-							  ;1000;JFEN3
8;20/04/2004;1,0000;DIVIDENDO;-							  ;1000;JFEN3
9;16/04/2003;4,3200;DIVIDENDO;-							  ;1000;JFEN3
10;24/04/2002;4,3203;DIVIDENDO;-							  ;1000;JFEN3
11;19/04/2001;4,7735;DIVIDENDO;-							  ;1000;JFEN3
12;19/04/2000;3,4423;DIVIDENDO;-							  ;1000;JFEN3
13;31/01/2000;1,6975;JRS CAP PRÓPRIO;-							  ;1000;JFEN3
14;28/04/1999;0,4934;DIVIDENDO;-							  ;1000;JFEN3
15;29/01/1999;1,8107;JRS CAP PRÓPRIO;-							  ;1000;JFEN3
16;28/04/1998;0,4888;DIVIDENDO;-							  ;1000;JFEN3
17;06/01/1998;4,3935;JRS CAP PRÓPRIO;-							  ;1000;JFEN3
18;28/04/1997;2,4800;DIVIDENDO;-							  ;1000;JFEN3
19;29/04/1996;1,5400;DIVIDENDO;-							  ;1000;JFEN3
20;;;;;;JFEN3
21;2014;0,068;;;;JFEN3
22;2013;0,061;;;;JFEN3
23;2012;0,158;;;;JFEN3
24;2011;0,138;;;;JFEN3
