;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;27/04/2023;0,2209;DIVIDENDO;25/05/2023 ;1;ELET3
1;22/04/2022;0,7158;DIVIDENDO;31/12/2022 ;1;ELET3
2;27/04/2021;0,9438;DIVIDENDO;31/08/2021 ;1;ELET3
3;03/02/2021;1,4351;DIVIDENDO;19/02/2021 ;1;ELET3
4;29/07/2020;1,5909;DIVIDENDO;09/09/2020 ;1;ELET3
5;29/04/2019;0,8106;DIVIDENDO;31/12/2019 ;1;ELET3
6;30/04/2015;0,0000;Juros;- ;1;ELET3
7;30/04/2014;0,3992;JRS CAP PROPRIO;- ;1;ELET3
8;30/04/2013;0,3992;JRS CAP PRÓPRIO;- ;1;ELET3
9;18/05/2012;1,2318;JRS CAP PRÓPRIO;- ;1;ELET3
10;16/06/2011;0,8322;JRS CAP PRÓPRIO;- ;1;ELET3
11;30/04/2010;0,4097;JRS CAP PRÓPRIO;- ;1;ELET3
12;29/01/2010;0,2450;DIVIDENDO;- ;1;ELET3
13;29/01/2010;0,2440;DIVIDENDO;- ;1;ELET3
14;04/05/2009;1,4849;JRS CAP PRÓPRIO;- ;1;ELET3
15;02/05/2008;0,4016;JRS CAP PRÓPRIO;- ;1;ELET3
16;02/05/2007;0,2640;JRS CAP PRÓPRIO;- ;1000;ELET3
17;26/04/2006;0,3382;DIVIDENDO;- ;1000;ELET3
18;29/04/2005;0,2858;JRS CAP PRÓPRIO;- ;1000;ELET3
19;30/04/2004;0,2782;DIVIDENDO;- ;1000;ELET3
20;30/04/2003;0,5069;DIVIDENDO;- ;1000;ELET3
21;27/03/2002;1,3434;JRS CAP PRÓPRIO;- ;1000;ELET3
22;28/12/2001;1,2869;JRS CAP PRÓPRIO;- ;1000;ELET3
23;28/12/2000;1,2328;JRS CAP PRÓPRIO;- ;1000;ELET3
24;30/12/1999;0,8000;JRS CAP PRÓPRIO;- ;1000;ELET3
25;06/04/1999;0,4364;DIVIDENDO;- ;1000;ELET3
26;03/04/1998;2,8361;JRS CAP PRÓPRIO;- ;1000;ELET3
27;29/04/1997;9,3566;JRS CAP PRÓPRIO;- ;1000;ELET3
28;29/04/1997;0,2588;DIVIDENDO;- ;1000;ELET3
29;25/04/1996;2,2735;DIVIDENDO;- ;1000;ELET3
30;;;;;;ELET3
31;2023;0,221;;;;ELET3
32;2022;0,716;;;;ELET3
33;2021;2,379;;;;ELET3
34;2020;1,591;;;;ELET3
35;2019;0,811;;;;ELET3
36;2015;0,000;;;;ELET3
37;2014;0,399;;;;ELET3
38;2013;0,399;;;;ELET3
39;2012;1,232;;;;ELET3
40;2011;0,832;;;;ELET3
41;2010;0,899;;;;ELET3
