;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;28/04/2023;0,2873;JRS CAP PROPRIO;17/10/2023 ;1;TUPY3
1;29/12/2022;0,2268;JRS CAP PROPRIO;04/04/2023 ;1;TUPY3
2;31/10/2022;0,2249;JRS CAP PROPRIO;10/11/2022 ;1;TUPY3
3;29/12/2021;0,1537;JRS CAP PROPRIO;27/01/2022 ;1;TUPY3
4;18/11/2021;0,1421;JRS CAP PROPRIO;25/11/2021 ;1;TUPY3
5;19/08/2021;0,1362;JRS CAP PROPRIO;26/08/2021 ;1;TUPY3
6;21/05/2019;0,1734;DIVIDENDO;18/06/2019 ;1;TUPY3
7;19/03/2019;0,6936;JRS CAP PROPRIO;28/03/2019 ;1;TUPY3
8;19/03/2019;0,2601;DIVIDENDO;28/03/2019 ;1;TUPY3
9;12/11/2018;0,1968;JRS CAP PROPRIO;26/11/2018 ;1;TUPY3
10;12/11/2018;0,1500;DIVIDENDO;26/11/2018 ;1;TUPY3
11;13/08/2018;0,2601;JRS CAP PROPRIO;24/08/2018 ;1;TUPY3
12;14/05/2018;0,2601;JRS CAP PROPRIO;25/05/2018 ;1;TUPY3
13;16/03/2018;0,3468;DIVIDENDO;28/03/2018 ;1;TUPY3
14;17/11/2017;0,2868;DIVIDENDO;- ;1000;TUPY3
15;17/11/2017;0,2868;DIVIDENDO;- ;1;TUPY3
16;17/11/2017;0,0600;JRS CAP PROPRIO;- ;1000;TUPY3
17;17/11/2017;0,0600;JRS CAP PROPRIO;- ;1;TUPY3
18;18/08/2017;0,3468;JRS CAP PROPRIO;- ;1000;TUPY3
19;18/08/2017;0,3468;JRS CAP PROPRIO;- ;1;TUPY3
20;13/06/2017;0,3468;JRS CAP PROPRIO;- ;1000;TUPY3
21;13/06/2017;0,3468;JRS CAP PROPRIO;- ;1;TUPY3
22;03/04/2017;0,1110;JRS CAP PROPRIO;- ;1000;TUPY3
23;16/11/2016;0,1734;JRS CAP PROPRIO;- ;1000;TUPY3
24;07/11/2016;0,1110;JRS CAP PROPRIO;- ;1000;TUPY3
25;10/08/2016;0,3007;JRS CAP PROPRIO;- ;1000;TUPY3
26;13/08/2015;0,7422;JUROS;- ;1000;TUPY3
27;17/12/2014;0,1761;JRS CAP PROPRIO;- ;1;TUPY3
28;11/04/2014;0,1744;JRS CAP PROPRIO;- ;1;TUPY3
29;12/04/2013;0,1841;JRS CAP PRÓPRIO;- ;1;TUPY3
30;12/04/2013;0,0642;DIVIDENDO;- ;1;TUPY3
31;30/04/2012;0,8403;JRS CAP PRÓPRIO;- ;1;TUPY3
32;30/04/2012;0,6383;DIVIDENDO;- ;1;TUPY3
33;29/04/2011;0,7299;JRS CAP PRÓPRIO;- ;1;TUPY3
34;29/04/2011;0,4066;DIVIDENDO;- ;1;TUPY3
35;28/04/2010;0,6298;JRS CAP PRÓPRIO;- ;1000;TUPY3
36;28/04/2010;0,5070;DIVIDENDO;- ;1000;TUPY3
37;28/04/2009;0,4869;JRS CAP PRÓPRIO;- ;1000;TUPY3
38;28/04/2009;0,2868;DIVIDENDO;- ;1000;TUPY3
39;30/04/2008;0,2828;DIVIDENDO;- ;1000;TUPY3
40;28/04/2005;0,1561;JRS CAP PRÓPRIO;- ;1000;TUPY3
41;29/04/2004;0,0370;JRS CAP PRÓPRIO;- ;1000;TUPY3
42;26/04/2002;0,2217;JRS CAP PRÓPRIO;- ;1000;TUPY3
43;20/04/2001;0,1917;JRS CAP PRÓPRIO;- ;1000;TUPY3
44;30/03/2000;0,1634;JRS CAP PRÓPRIO;- ;1000;TUPY3
45;;;;;;TUPY3
46;2023;0,287;;;;TUPY3
47;2022;0,452;;;;TUPY3
48;2021;0,432;;;;TUPY3
49;2019;1,127;;;;TUPY3
50;2018;1,214;;;;TUPY3
51;2017;2,192;;;;TUPY3
52;2016;0,585;;;;TUPY3
53;2015;0,742;;;;TUPY3
54;2014;0,351;;;;TUPY3
55;2013;0,248;;;;TUPY3
56;2012;1,479;;;;TUPY3
57;2011;1,137;;;;TUPY3
58;2010;1,137;;;;TUPY3
