;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;17/02/2025;1,2509;DIVIDENDO;07/03/2025							  ;1;ITUB3
1;17/02/2025;0,3334;JRS CAP PROPRIO;07/03/2025							  ;1;ITUB3
2;31/01/2025;0,0177;JRS CAP PROPRIO;06/03/2025							  ;1;ITUB3
3;30/12/2024;0,0177;JRS CAP PROPRIO;03/02/2025							  ;1;ITUB3
4;09/12/2024;0,3106;JRS CAP PROPRIO;07/03/2025							  ;1;ITUB3
5;29/11/2024;0,0177;JRS CAP PROPRIO;02/01/2025							  ;1;ITUB3
6;31/10/2024;0,0177;JRS CAP PROPRIO;02/12/2024							  ;1;ITUB3
7;30/09/2024;0,0177;JRS CAP PROPRIO;01/11/2024							  ;1;ITUB3
8;19/09/2024;0,2730;JRS CAP PROPRIO;07/03/2025							  ;1;ITUB3
9;30/08/2024;0,0177;JRS CAP PROPRIO;01/10/2024							  ;1;ITUB3
10;31/07/2024;0,0177;JRS CAP PROPRIO;02/09/2024							  ;1;ITUB3
11;28/06/2024;0,0177;JRS CAP PROPRIO;01/08/2024							  ;1;ITUB3
12;20/06/2024;0,2510;JRS CAP PROPRIO;30/08/2024							  ;1;ITUB3
13;31/05/2024;0,0177;JRS CAP PROPRIO;01/07/2024							  ;1;ITUB3
14;30/04/2024;0,0177;JRS CAP PROPRIO;03/06/2024							  ;1;ITUB3
15;28/03/2024;0,0177;JRS CAP PROPRIO;02/05/2024							  ;1;ITUB3
16;21/03/2024;0,2418;JRS CAP PROPRIO;30/08/2024							  ;1;ITUB3
17;29/02/2024;0,0177;JRS CAP PROPRIO;01/04/2024							  ;1;ITUB3
18;21/02/2024;1,1251;DIVIDENDO;08/03/2024							  ;1;ITUB3
19;31/01/2024;0,0177;JRS CAP PROPRIO;01/03/2024							  ;1;ITUB3
20;28/12/2023;0,0177;JRS CAP PROPRIO;01/02/2024							  ;1;ITUB3
21;06/12/2023;0,2472;JRS CAP PROPRIO;08/03/2024							  ;1;ITUB3
22;30/11/2023;0,0177;JRS CAP PROPRIO;02/01/2024							  ;1;ITUB3
23;31/10/2023;0,0177;JRS CAP PROPRIO;01/12/2023							  ;1;ITUB3
24;29/09/2023;0,0177;JRS CAP PROPRIO;01/11/2023							  ;1;ITUB3
25;18/09/2023;0,2693;JRS CAP PROPRIO;08/03/2024							  ;1;ITUB3
26;31/08/2023;0,0177;JRS CAP PROPRIO;02/10/2023							  ;1;ITUB3
27;31/07/2023;0,0177;JRS CAP PROPRIO;01/09/2023							  ;1;ITUB3
28;30/06/2023;0,0177;JRS CAP PROPRIO;01/08/2023							  ;1;ITUB3
29;19/06/2023;0,2663;JRS CAP PROPRIO;25/08/2023							  ;1;ITUB3
30;31/05/2023;0,0177;JRS CAP PROPRIO;03/07/2023							  ;1;ITUB3
31;28/04/2023;0,0177;JRS CAP PROPRIO;01/06/2023							  ;1;ITUB3
32;31/03/2023;0,0177;JRS CAP PROPRIO;02/05/2023							  ;1;ITUB3
33;23/03/2023;0,2620;JRS CAP PROPRIO;25/08/2023							  ;1;ITUB3
34;28/02/2023;0,0177;JRS CAP PROPRIO;03/04/2023							  ;1;ITUB3
35;31/01/2023;0,0177;JRS CAP PROPRIO;01/03/2023							  ;1;ITUB3
36;29/12/2022;0,0177;JRS CAP PROPRIO;01/02/2023							  ;1;ITUB3
37;08/12/2022;0,4862;JRS CAP PROPRIO;10/03/2023							  ;1;ITUB3
38;30/11/2022;0,0177;JRS CAP PROPRIO;02/01/2023							  ;1;ITUB3
39;31/10/2022;0,0177;JRS CAP PROPRIO;01/12/2022							  ;1;ITUB3
40;30/09/2022;0,0177;JRS CAP PROPRIO;01/11/2022							  ;1;ITUB3
41;31/08/2022;0,0177;JRS CAP PROPRIO;03/10/2022							  ;1;ITUB3
42;18/08/2022;0,3065;JRS CAP PROPRIO;30/08/2022							  ;1;ITUB3
43;29/07/2022;0,0177;JRS CAP PROPRIO;01/09/2022							  ;1;ITUB3
44;30/06/2022;0,0177;JRS CAP PROPRIO;01/08/2022							  ;1;ITUB3
45;31/05/2022;0,0177;JRS CAP PROPRIO;01/07/2022							  ;1;ITUB3
46;29/04/2022;0,0177;JRS CAP PROPRIO;01/06/2022							  ;1;ITUB3
47;31/03/2022;0,0177;JRS CAP PROPRIO;02/05/2022							  ;1;ITUB3
48;25/02/2022;0,0177;JRS CAP PROPRIO;01/04/2022							  ;1;ITUB3
49;21/02/2022;0,0137;JRS CAP PROPRIO;11/03/2022							  ;1;ITUB3
50;31/01/2022;0,0177;JRS CAP PROPRIO;02/03/2022							  ;1;ITUB3
51;30/12/2021;0,0177;JRS CAP PROPRIO;01/02/2022							  ;1;ITUB3
52;30/11/2021;0,0177;JRS CAP PROPRIO;03/01/2022							  ;1;ITUB3
53;19/11/2021;0,2646;JRS CAP PROPRIO;11/03/2022							  ;1;ITUB3
54;29/10/2021;0,0177;JRS CAP PROPRIO;01/12/2021							  ;1;ITUB3
