;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-1.64%;0.00%;-1.67%;1.69%;-0.83%;24.37%;-10.14%;4.51%;-2.88%;3.70%;-21.43%;27.27%;14.75%
2001;-15.71%;5.93%;-18.40%;-3.92%;4.08%;-3.92%;2.04%;0.00%;0.00%;-20.00%;31.25%;33.33%;0.00%
2002;-7.14%;-0.77%;-26.36%;15.79%;-13.64%;-5.26%;0.00%;11.11%;5.00%;-4.76%;10.00%;4.55%;-17.86%
2003;4.35%;0.00%;-9.17%;0.92%;9.09%;0.83%;-0.83%;8.33%;2.31%;61.66%;29.77%;-21.15%;91.31%
2004;-6.82%;-7.32%;-2.63%;-2.70%;6.11%;20.42%;45.65%;4.48%;14.29%;9.75%;-2.05%;44.19%;181.82%
2005;-0.32%;21.36%;-0.00%;-1.33%;-5.41%;3.57%;-0.69%;9.72%;2.53%;3.09%;-1.20%;0.00%;33.06%
2006;-0.61%;2.44%;-1.19%;4.22%;9.83%;-10.53%;6.00%;2.11%;12.50%;2.90%;7.04%;27.19%;75.76%
2007;6.90%;11.29%;47.83%;0.78%;10.89%;18.60%;6.21%;4.46%;0.00%;-1.41%;-0.22%;5.69%;168.90%
2008;2.05%;-0.98%;-0.18%;-3.50%;-3.44%;-10.02%;-9.81%;10.88%;-13.28%;0.04%;-14.35%;-13.71%;-45.78%
2009;2.88%;-19.91%;-19.29%;14.51%;0.46%;-3.85%;8.80%;21.32%;7.88%;15.11%;26.89%;-0.38%;52.44%
2010;11.97%;13.79%;-1.58%;-0.55%;-8.39%;10.85%;0.30%;-2.74%;1.87%;1.20%;15.19%;19.08%;74.71%
2011;1.33%;-0.44%;-1.97%;1.12%;-17.13%;10.67%;5.90%;0.11%;0.57%;3.39%;-1.53%;10.99%;10.50%
2012;-15.30%;-3.19%;-10.98%;2.74%;-8.00%;4.06%;-2.51%;1.29%;17.07%;1.81%;-17.16%;14.86%;-19.60%
2013;-0.50%;2.50%;8.29%;1.80%;10.40%;-3.31%;0.00%;3.63%;3.00%;5.53%;-5.34%;0.58%;28.73%
2014;-0.48%;0.00%;-4.85%;-2.55%;-6.81%;0.11%;-4.60%;-12.94%;-3.38%;1.82%;-17.72%;-12.52%;-49.37%
2015;-19.85%;-10.95%;-3.74%;24.72%;2.45%;-17.39%;-14.21%;21.17%;-7.60%;1.10%;12.20%;-6.28%;-25.95%
2016;-21.39%;-6.56%;24.56%;16.62%;-2.42%;0.50%;22.91%;10.02%;-5.83%;-2.71%;-10.14%;-6.42%;9.02%
2017;27.19%;-1.12%;0.56%;28.04%;-14.89%;0.51%;4.10%;13.61%;5.19%;-1.23%;-8.33%;4.39%;62.88%
2018;13.35%;1.79%;-1.89%;-1.92%;-2.61%;-9.66%;9.21%;-4.22%;-0.28%;2.56%;20.83%;12.48%;42.03%
2019;8.73%;-5.66%;4.18%;-3.61%;1.25%;13.03%;6.31%;4.22%;-4.93%;1.38%;7.39%;7.20%;44.92%
2020;16.49%;16.69%;-47.28%;14.33%;23.73%;4.58%;12.20%;-3.73%;6.03%;-3.25%;4.20%;8.87%;33.27%
2021;-0.74%;-3.81%;18.00%;44.38%;-4.83%;-2.58%;1.67%;-5.60%;-7.57%;-8.64%;5.33%;-3.22%;24.59%
2022;-1.19%;3.97%;6.37%;-0.98%;1.10%;-6.52%;1.16%;12.18%;-5.94%;6.75%;-3.27%;-0.63%;12.01%
2023;3.40%;-6.57%;-2.64%;-1.13%;33.56%;9.06%;5.33%;10.71%;1.48%;-2.78%;-4.36%;0.43%;49.68%
2024;-7.66%;7.99%;-4.41%;-8.33%;-1.46%;-1.32%;5.34%;6.50%;0.00%;0.00%;0.00%;0.00%;-4.68%
