;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;1.34%;-1.09%;9.15%;6.15%;-13.79%;34.19%;-8.74%;18.64%;6.05%;-12.04%;-8.38%;21.44%;50.98%
2001;28.74%;-2.20%;1.86%;18.69%;1.06%;-6.00%;-1.79%;-22.69%;-45.43%;33.38%;-2.13%;29.50%;1.30%
2002;-3.68%;4.15%;1.01%;8.65%;10.03%;4.37%;-1.08%;-12.41%;-2.08%;13.62%;-7.04%;3.14%;16.85%
2003;-12.89%;-30.13%;6.29%;2.05%;6.04%;16.63%;0.96%;11.37%;-2.98%;16.67%;9.02%;33.10%;50.78%
2004;-7.25%;-5.98%;6.12%;-18.81%;-1.86%;16.65%;-2.71%;-8.11%;-6.81%;-2.39%;2.59%;14.08%;-18.13%
2005;-5.82%;11.22%;-3.81%;-12.06%;2.86%;0.97%;0.41%;9.59%;3.12%;-2.48%;-3.05%;15.38%;13.92%
2006;21.67%;-5.39%;-5.79%;-0.10%;-2.82%;4.49%;-7.07%;14.08%;1.48%;4.32%;1.22%;-1.96%;22.50%
2007;-3.36%;12.06%;-1.63%;2.17%;-3.12%;0.73%;-13.32%;8.37%;-8.18%;3.51%;-6.26%;2.81%;-8.62%
2008;-5.46%;-0.79%;-7.57%;-0.69%;-11.87%;-30.22%;12.00%;15.73%;-5.28%;-14.12%;-23.91%;2.92%;-56.28%
2009;-1.36%;-24.17%;17.91%;13.90%;9.60%;-15.98%;11.90%;10.96%;1.28%;-12.78%;-2.24%;7.67%;6.81%
2010;6.16%;-1.80%;7.24%;-3.04%;-4.41%;-4.82%;23.81%;-6.01%;9.35%;2.54%;2.31%;-4.76%;25.40%
2011;14.58%;3.62%;-3.64%;-8.44%;1.21%;-4.88%;-5.97%;-9.74%;16.34%;0.85%;-4.56%;3.98%;-0.34%
2012;2.55%;6.14%;14.38%;12.30%;-12.71%;-6.90%;-1.65%;6.54%;-2.79%;4.34%;-7.68%;10.22%;22.87%
2013;13.84%;1.64%;6.16%;-0.96%;11.15%;4.50%;-5.00%;1.44%;-9.45%;-8.25%;10.95%;4.13%;30.73%
2014;-2.65%;13.92%;-3.39%;-4.74%;5.81%;-1.03%;6.74%;1.02%;10.93%;-0.66%;-1.46%;3.38%;29.38%
2015;-2.86%;4.89%;-1.41%;-4.28%;1.53%;-0.84%;1.01%;-3.85%;10.97%;10.90%;7.50%;-0.69%;23.53%
2016;-4.74%;5.01%;-21.03%;-13.75%;-8.60%;-6.91%;-15.26%;-3.37%;-2.23%;22.41%;-3.38%;-3.44%;-47.00%
2017;12.50%;-0.39%;-3.01%;-11.67%;4.23%;-5.50%;4.23%;13.70%;-0.22%;-12.41%;-0.13%;27.80%;25.00%
2018;0.10%;8.69%;-0.97%;2.74%;1.58%;7.87%;-20.65%;1.82%;1.17%;5.55%;4.16%;-0.55%;8.40%
2019;-10.79%;-1.34%;-3.30%;6.45%;-3.51%;2.43%;-0.52%;-7.04%;-0.22%;-2.12%;2.68%;9.61%;-8.99%
2020;-8.06%;-6.50%;-43.75%;-9.33%;-17.34%;13.15%;-5.93%;-3.55%;-14.99%;-3.37%;34.33%;9.26%;-55.14%
2021;-0.68%;39.14%;14.55%;9.92%;12.21%;9.20%;-1.48%;25.98%;-1.24%;-5.19%;-12.72%;29.68%;180.45%
2022;-18.17%;-13.34%;-15.00%;-5.01%;-10.34%;-10.20%;2.71%;17.62%;-15.70%;18.03%;-1.45%;5.61%;-42.34%
2023;14.26%;1.47%;25.32%;-6.59%;-2.06%;-2.52%;-0.16%;5.29%;-11.65%;2.15%;22.23%;4.14%;56.46%
2024;1.74%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.74%
