;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;-3.28%;1.17%;-4.67%;20.40%;-4.36%;17.62%;-3.40%;-10.13%;-12.75%;-4.30%
2008;-24.16%;-3.85%;-18.49%;5.01%;16.11%;-21.71%;-9.90%;-0.55%;-28.73%;-27.13%;-5.11%;-19.51%;-79.83%
2009;36.21%;12.88%;5.98%;6.84%;26.24%;3.30%;8.83%;22.21%;0.83%;-5.49%;-3.19%;7.50%;199.44%
2010;1.40%;-0.18%;-2.57%;-1.09%;-6.79%;-1.95%;15.91%;15.50%;9.21%;8.56%;-4.06%;5.71%;43.48%
2011;-6.06%;0.00%;-2.81%;1.83%;-4.56%;-7.48%;-12.02%;-0.77%;4.19%;10.04%;6.22%;9.32%;-4.59%
2012;2.91%;10.70%;7.92%;-4.11%;-1.30%;-1.16%;7.62%;6.78%;0.35%;-0.21%;-7.11%;11.60%;37.17%
2013;-0.01%;-1.34%;-2.65%;1.06%;-0.36%;-12.98%;-13.74%;-8.20%;6.38%;6.90%;-1.42%;1.83%;-23.93%
2014;-12.63%;-10.41%;20.06%;-14.41%;2.61%;-0.13%;6.13%;5.56%;-4.90%;-11.45%;-9.59%;3.54%;-27.21%
2015;-41.94%;29.43%;17.47%;-3.79%;-4.40%;-0.20%;3.57%;-10.40%;-8.48%;2.02%;-0.75%;-5.54%;-34.18%
2016;1.95%;-3.31%;7.14%;-2.47%;7.43%;4.52%;11.10%;-3.02%;-2.16%;1.23%;1.94%;-5.94%;18.33%
2017;4.29%;-2.66%;-6.97%;-2.41%;-16.99%;8.58%;-6.69%;4.89%;-3.11%;3.85%;-9.26%;19.05%;-11.62%
2018;-4.29%;2.69%;-5.52%;-3.38%;-12.42%;-6.91%;7.42%;-16.36%;-16.96%;34.03%;-2.34%;-11.60%;-36.86%
2019;9.05%;14.11%;-14.91%;-11.11%;23.08%;-5.86%;10.37%;26.69%;-4.75%;-1.25%;5.99%;25.00%;90.05%
2020;-1.19%;-12.29%;-47.53%;45.55%;-1.44%;6.57%;5.82%;-9.39%;-8.21%;-13.62%;9.46%;3.70%;-40.00%
2021;-12.70%;-3.64%;7.08%;5.73%;34.58%;-5.26%;-16.01%;-10.89%;-17.03%;0.00%;-7.89%;2.29%;-28.97%
2022;-8.38%;-11.59%;13.10%;-14.63%;-5.00%;-25.56%;11.11%;12.73%;35.48%;0.60%;3.55%;-6.29%;-8.38%
2023;9.82%;3.45%;-0.56%;-14.53%;86.93%;-6.29%;36.19%;6.47%;1.85%;-8.83%;7.41%;15.92%;183.54%
2024;-1.13%;10.14%;1.75%;-5.23%;-1.62%;-2.59%;5.30%;13.55%;-1.65%;0.76%;-1.30%;-1.76%;15.62%
2025;1.61%;-1.72%;1.38%;10.63%;10.42%;14.15%;1.86%;7.44%;31.38%;11.22%;12.99%;26.77%;223.40%
2026;0.39%;1.05%;-1.70%;9.76%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;9.44%
