;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2008;3.95%;-4.80%;5.67%;1.39%;8.82%;2.70%;5.26%;-7.50%;-0.18%;-13.36%;-16.67%;38.50%;15.18%
2009;-9.75%;-18.60%;1.72%;12.32%;0.86%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-15.34%
2010;0.00%;0.00%;16.84%;-8.58%;1.80%;0.00%;1.37%;-2.32%;8.91%;11.27%;0.00%;0.33%;30.92%
2011;-1.95%;0.00%;0.33%;0.66%;-2.63%;0.00%;-3.72%;0.00%;-1.75%;0.00%;-3.57%;-15.19%;-25.41%
2012;0.00%;0.00%;-12.01%;0.00%;-0.74%;0.00%;-31.25%;0.00%;2.91%;41.34%;-10.00%;0.28%;-21.18%
2013;0.55%;-0.83%;0.00%;0.83%;0.00%;0.00%;-0.83%;0.00%;6.11%;0.00%;0.00%;0.00%;5.82%
2014;0.00%;1.31%;0.00%;1.29%;-0.00%;0.00%;0.00%;0.77%;0.25%;0.00%;0.00%;-3.03%;0.52%
2015;-32.29%;4.23%;0.00%;11.07%;0.00%;16.61%;5.41%;0.00%;-2.16%;4.97%;0.00%;0.00%;-1.04%
2016;-2.37%;-2.96%;0.00%;5.83%;-6.82%;0.00%;0.00%;0.00%;0.28%;0.00%;7.02%;0.00%;0.26%
2017;0.00%;0.00%;-2.36%;0.00%;3.49%;0.00%;-0.52%;9.40%;0.24%;-0.24%;0.00%;4.53%;14.96%
2018;0.00%;-4.34%;19.33%;-11.00%;0.00%;0.00%;0.45%;-7.61%;6.30%;0.00%;0.00%;0.00%;0.23%
2019;7.06%;17.02%;12.36%;-17.80%;-6.89%;30.02%;-3.90%;5.08%;0.64%;0.00%;4.64%;144.65%;264.46%
2020;-25.06%;-19.77%;-11.64%;-5.88%;11.25%;79.78%;-3.75%;-35.19%;8.22%;-7.69%;1.00%;0.00%;-37.06%
2021;48.96%;-34.13%;1.21%;-7.00%;1.61%;-3.81%;7.48%;-15.56%;-3.03%;7.62%;-8.13%;-3.79%;-24.43%
2022;-1.18%;-6.78%;9.99%;0.00%;0.00%;-10.51%;-20.29%;2.73%;65.84%;-26.36%;41.74%;-21.17%;1.31%
2023;25.16%;0.52%;-4.95%;0.33%;5.84%;2.04%;0.00%;0.00%;4.70%;3.35%;0.00%;0.00%;40.21%
