;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;51.67%;0.00%;0.00%;-23.08%;-10.57%;-4.15%;0.00%;66.67%;0.00%;0.00%;0.00%;66.67%
2001;0.00%;0.00%;-99.95%;0.00%;0.00%;0.00%;-20.00%;12.50%;0.00%;0.00%;-52.89%;3.77%;-99.98%
2002;-9.09%;8.00%;-30.56%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-31.82%
2003;0.00%;53.33%;0.00%;0.00%;65.22%;31.58%;20.00%;0.00%;-28.33%;62.79%;-0.00%;24.57%;481.33%
2004;14.68%;-5.00%;-0.00%;47.37%;-21.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;26.15%
2005;-9.09%;0.00%;9.00%;-0.92%;0.00%;1.85%;-31.82%;0.00%;0.00%;0.00%;-19.73%;3.32%;-43.45%
2006;27.97%;0.00%;38.19%;0.00%;0.00%;18.18%;0.00%;7.69%;0.00%;0.00%;7.14%;0.00%;141.16%
2007;0.00%;0.00%;0.00%;0.00%;-10.67%;42.24%;33.79%;0.00%;1.96%;0.00%;-19.31%;-27.55%;1.33%
2008;-2.63%;1.35%;-6.67%;0.00%;114.29%;0.00%;0.00%;-2.23%;0.00%;0.00%;-46.30%;0.00%;3.62%
2009;17.14%;0.00%;0.00%;-5.15%;0.00%;0.00%;2.86%;2.07%;0.00%;-5.00%;0.00%;0.00%;10.82%
2010;0.00%;0.00%;46.14%;-7.30%;6.62%;0.00%;0.00%;22.14%;-3.24%;0.00%;0.00%;0.00%;70.70%
2011;-14.47%;-15.83%;27.72%;0.00%;3.30%;0.00%;0.00%;1.63%;-18.41%;-4.75%;0.00%;0.00%;-24.98%
2012;0.00%;0.00%;0.00%;3.41%;0.00%;0.00%;0.00%;1.69%;0.00%;-0.20%;0.00%;0.00%;4.94%
2013;4.95%;0.00%;0.00%;1.10%;0.00%;0.00%;0.00%;0.00%;0.00%;1.86%;0.00%;0.00%;8.08%
2014;0.00%;0.00%;3.96%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;2.56%;6.61%
2015;0.00%;0.00%;0.00%;8.45%;0.00%;0.00%;0.00%;4.50%;0.00%;0.00%;0.00%;0.00%;13.34%
2016;2.77%;0.00%;-25.24%;2.32%;0.00%;0.00%;12.79%;0.99%;0.00%;4.09%;0.00%;0.00%;-6.78%
2017;0.00%;0.00%;0.00%;3.17%;0.00%;0.00%;0.00%;0.00%;23.85%;0.00%;10.06%;0.00%;40.63%
2018;0.00%;0.00%;-9.09%;0.00%;-9.95%;-0.06%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-18.18%
2019;3.85%;11.11%;-9.00%;-1.10%;0.00%;0.00%;2.11%;0.00%;19.44%;-6.98%;0.00%;25.00%;47.28%
2020;0.12%;-12.55%;-28.70%;-2.60%;0.00%;32.67%;0.00%;21.06%;-6.27%;-2.57%;22.55%;-14.28%;-6.33%
2021;62.48%;5.35%;-0.03%;-4.63%;-10.68%;2.87%;17.64%;8.99%;-0.69%;-14.99%;-1.20%;-5.54%;51.50%
2022;-0.05%;18.59%;-17.50%;-4.86%;-1.20%;6.91%;0.82%;2.55%;0.03%;25.98%;3.79%;-12.91%;15.74%
2023;0.37%;15.47%;-2.38%;3.29%;-3.19%;0.00%;1.45%;5.32%;-4.07%;0.00%;0.00%;0.00%;15.97%
2024;1.34%;13.43%;32.07%;3.74%;-14.69%;0.29%;2.54%;6.72%;0.00%;2.87%;0.00%;0.26%;52.08%
2025;0.00%;0.00%;0.00%;7.06%;-9.76%;-7.18%;36.26%;0.00%;0.00%;0.00%;0.00%;0.00%;22.18%
