;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-9.60%;0.88%;22.81%;1.43%;-96.65%;21.65%;21.19%;-0.70%;-7.04%;-7.58%;-9.02%;6.31%;-95.37%
2001;11.02%;-3.05%;-3.15%;1.46%;-17.31%;-0.00%;-5.81%;2.47%;-12.05%;12.33%;21.95%;2.00%;3.73%
2002;4.90%;8.41%;5.17%;-11.48%;-8.33%;-10.10%;-6.74%;14.46%;-11.58%;14.29%;9.37%;8.57%;11.76%
2003;-10.53%;0.00%;7.84%;7.27%;22.03%;-2.78%;6.43%;25.50%;3.21%;3.11%;-1.01%;19.29%;106.14%
2004;10.64%;8.85%;5.65%;-19.73%;-8.00%;14.13%;26.67%;27.07%;14.79%;-7.22%;-0.28%;16.99%;114.47%
2005;-7.86%;10.85%;-9.56%;-7.22%;-0.67%;-18.12%;9.43%;-3.75%;8.56%;-19.00%;-1.33%;-4.04%;-38.86%
2006;3.74%;-4.05%;-7.51%;1.07%;-14.36%;-8.39%;-6.34%;18.05%;-2.55%;7.84%;6.06%;-1.71%;-11.59%
2007;5.23%;6.63%;1.55%;9.59%;7.26%;-0.00%;-4.69%;19.13%;-1.83%;-4.67%;4.90%;-16.36%;24.88%
2008;-8.38%;-1.22%;-4.32%;5.74%;16.78%;-12.07%;-5.88%;-3.47%;-26.62%;-26.47%;-17.33%;6.45%;-59.44%
2009;4.55%;-14.49%;-3.39%;24.56%;18.31%;-1.19%;13.25%;17.02%;5.45%;-8.62%;-1.89%;11.54%;75.76%
2010;-10.34%;-3.85%;-23.00%;-7.79%;-14.08%;-4.92%;1.72%;6.78%;0.00%;4.76%;-7.58%;-4.92%;-50.00%
2011;-1.72%;-12.28%;-8.00%;-2.17%;-13.33%;7.69%;-0.00%;-16.67%;-5.71%;6.06%;-14.29%;-3.33%;-50.00%
2012;6.90%;3.23%;-3.12%;-6.45%;-6.90%;-7.41%;4.00%;15.38%;20.00%;13.89%;2.44%;-4.76%;37.93%
2013;15.00%;8.70%;16.00%;-10.34%;-3.85%;-8.00%;-2.17%;4.44%;2.13%;-0.00%;12.50%;-1.85%;32.50%
2014;-9.43%;-8.33%;0.00%;4.55%;-6.52%;11.63%;2.08%;6.12%;-0.00%;-3.85%;0.00%;-6.00%;-11.32%
2015;-5.96%;-6.11%;0.48%;6.71%;9.21%;2.47%;-9.84%;-4.23%;-2.56%;-6.92%;-1.03%;12.18%;-7.87%
2016;-4.39%;17.39%;25.93%;4.08%;-2.04%;-0.64%;0.48%;10.75%;-1.45%;-1.18%;1.04%;0.88%;58.20%
2017;2.19%;6.43%;0.94%;3.32%;25.48%;2.36%;-8.72%;13.17%;15.42%;10.25%;24.09%;-2.64%;131.39%
2018;34.64%;33.55%;1.26%;-1.52%;58.27%;-13.07%;12.35%;9.26%;-15.08%;4.02%;-7.97%;3.05%;153.70%
2019;1.74%;6.16%;-4.17%;1.68%;-5.13%;13.02%;-5.44%;-9.29%;3.89%;-8.69%;3.21%;19.27%;13.03%
2020;-8.43%;-18.04%;-10.45%;-2.50%;-3.03%;5.51%;14.24%;9.07%;-6.67%;8.66%;29.95%;30.22%;43.35%
2021;-2.32%;13.58%;19.79%;14.11%;33.21%;-4.94%;-6.90%;-1.19%;-12.55%;-5.58%;19.31%;15.88%;101.68%
2022;-9.05%;1.12%;9.58%;1.50%;4.70%;-9.37%;-8.56%;23.05%;-6.35%;11.25%;-9.00%;-9.44%;-6.23%
2023;-3.03%;-7.09%;-11.65%;-6.85%;4.81%;15.72%;2.27%;-4.50%;4.83%;-12.23%;4.34%;0.00%;-15.68%
