;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-9.54%;0.00%;20.16%;0.00%;0.00%;8.70%
2001;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2003;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-0.00%;0.00%;0.00%;0.00%;0.00%;-0.00%
2004;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;37.50%;0.00%;0.00%;0.00%;0.00%;0.00%;37.50%
2005;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2006;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-9.09%;0.00%;0.00%;0.00%;2.00%;-7.27%
2007;0.00%;27.45%;-6.15%;13.06%;21.80%;-8.33%;3.90%;-7.50%;21.49%;8.45%;-12.82%;1.18%;68.63%
2008;-12.50%;22.92%;-9.19%;-2.38%;-2.44%;3.12%;3.03%;-3.82%;-2.14%;-30.00%;-19.64%;-5.56%;-50.58%
2009;-0.00%;-11.76%;-2.67%;10.96%;9.88%;11.24%;5.56%;9.47%;4.81%;5.92%;-6.69%;-15.61%;17.65%
2010;15.50%;12.55%;0.00%;-7.77%;3.42%;18.06%;4.51%;-0.33%;-1.64%;-1.33%;-2.03%;6.48%;54.40%
2011;-2.85%;-5.40%;-2.75%;14.49%;-9.49%;-2.10%;19.57%;-7.41%;-1.29%;4.51%;-8.07%;0.68%;-4.15%
2012;4.05%;-2.60%;11.33%;-5.69%;-2.86%;4.90%;0.93%;4.94%;-5.88%;0.00%;-3.00%;-0.13%;4.73%
2013;3.23%;-0.63%;3.77%;3.03%;-5.88%;-4.94%;15.06%;-5.71%;-8.12%;5.54%;3.00%;-19.90%;-14.84%
2014;-4.92%;1.99%;-10.16%;-4.35%;19.55%;-23.95%;1.00%;0.99%;-14.61%;-19.63%;0.00%;-4.29%;-49.24%
2015;-3.88%;8.54%;0.14%;-13.57%;-4.13%;-1.72%;-12.28%;-9.80%;0.22%;10.62%;54.00%;-9.09%;4.48%
2016;-17.00%;0.00%;0.00%;3.27%;1.67%;0.00%;0.00%;22.95%;-28.67%;0.56%;-7.06%;4.00%;-25.71%
2017;8.65%;6.19%;-8.17%;-2.90%;11.96%;0.17%;-6.50%;24.78%;2.14%;16.08%;-36.99%;24.09%;24.81%
2018;39.45%;2.76%;-25.91%;-4.93%;-12.98%;7.89%;5.69%;3.85%;-11.11%;4.17%;43.84%;-21.47%;8.78%
2019;10.06%;-0.26%;-2.58%;-1.99%;5.54%;15.24%;9.00%;22.32%;-1.25%;-3.38%;8.73%;5.06%;85.27%
2020;11.77%;4.65%;-21.57%;8.75%;-3.45%;23.02%;1.23%;5.16%;12.18%;2.65%;-15.79%;3.12%;26.15%
2021;7.88%;-4.55%;15.83%;-6.00%;3.24%;12.46%;9.45%;4.17%;-8.94%;1.88%;-3.17%;9.27%;45.70%
2022;-1.83%;5.93%;1.84%;18.54%;-10.14%;-17.77%;-8.16%;5.47%;11.11%;-5.17%;-9.14%;-3.29%;-16.81%
2023;9.10%;2.57%;-2.14%;-2.28%;3.83%;10.35%;4.00%;10.20%;15.59%;-17.86%;19.72%;28.18%;104.70%
2024;3.08%;37.44%;-21.69%;2.38%;7.10%;1.20%;20.63%;18.42%;6.28%;-3.29%;-2.16%;0.00%;76.84%
