;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-99.90%;0.00%;2.00%;7.84%;-18.18%;16.67%;0.00%;0.00%;-3.81%;0.00%;-2.97%;4.08%;-99.90%
2001;-0.98%;7.92%;-17.43%;-11.11%;0.00%;0.00%;12.50%;0.00%;6.67%;0.00%;0.00%;0.00%;-5.88%
2002;56.25%;0.00%;-32.67%;2.97%;-11.54%;-2.17%;16.67%;3.81%;-7.34%;-9.90%;0.00%;0.00%;-5.21%
2003;0.00%;0.00%;0.00%;8.79%;0.00%;0.00%;41.41%;0.00%;-10.71%;4.00%;-6.92%;7.44%;42.86%
2004;0.77%;-0.76%;0.00%;0.00%;-11.54%;20.00%;0.00%;-8.70%;30.95%;0.00%;3.64%;0.00%;31.54%
2005;0.00%;0.00%;0.00%;0.00%;-3.51%;0.00%;9.09%;-8.33%;0.00%;9.09%;-7.78%;8.43%;5.26%
2006;-11.11%;-9.38%;24.14%;-5.56%;0.00%;0.00%;2.94%;0.00%;-14.29%;2.00%;62.09%;0.81%;38.89%
2007;74.00%;0.00%;-8.05%;14.75%;6.75%;128.57%;-15.18%;-9.47%;-2.33%;3.60%;-19.56%;2.86%;188.00%
2008;19.44%;-20.93%;-11.76%;-5.00%;40.35%;-16.00%;-10.71%;-11.67%;-2.45%;23.71%;-37.46%;-16.15%;-53.42%
2009;19.38%;24.88%;0.00%;-17.92%;21.83%;12.00%;0.00%;0.00%;0.00%;20.71%;-27.99%;-0.78%;44.01%
2010;12.22%;17.53%;0.47%;-15.63%;-7.37%;26.75%;-0.66%;-4.70%;-0.03%;4.97%;0.00%;-4.73%;24.22%
2011;7.37%;2.48%;1.48%;14.60%;27.64%;8.16%;-3.79%;-23.51%;20.46%;4.26%;2.08%;-0.24%;66.27%
2012;0.00%;-3.17%;0.00%;0.00%;-1.04%;0.42%;0.00%;0.00%;2.06%;-8.16%;4.45%;22.41%;15.32%
2013;9.53%;-9.52%;-6.12%;23.34%;-41.97%;-3.39%;1.35%;6.67%;0.00%;22.50%;-12.24%;-4.63%;-28.70%
2014;0.00%;1.19%;-1.20%;34.15%;-15.00%;-1.63%;1.76%;0.34%;-5.94%;1.77%;-8.79%;-25.10%;-25.12%
2015;-2.28%;-0.03%;0.00%;8.33%;-10.74%;3.48%;-5.06%;-1.68%;-0.14%;-6.29%;-8.47%;-5.79%;-26.38%
2016;0.00%;10.57%;0.00%;-2.00%;-2.24%;-0.21%;-10.04%;-6.47%;14.32%;-13.01%;4.00%;0.00%;-8.01%
2017;0.91%;0.00%;-4.72%;-10.00%;0.00%;0.00%;-13.33%;8.97%;-1.06%;4.04%;0.00%;-8.51%;-23.03%
2018;-6.31%;-15.93%;3.17%;30.67%;-17.65%;7.93%;-3.71%;6.94%;9.25%;17.71%;0.00%;0.00%;24.98%
2019;0.00%;-14.69%;47.63%;19.05%;0.00%;-17.93%;42.16%;-0.31%;-2.52%;0.03%;5.85%;0.00%;79.96%
2020;2.75%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;48.65%;-9.09%;-12.00%;13.64%;-0.20%;38.57%
2021;-10.76%;1.08%;0.02%;28.83%;-9.07%;-0.47%;-21.89%;-10.95%;1.07%;1.36%;-7.67%;4.29%;-27.84%
2022;12.83%;-11.40%;0.00%;30.56%;-14.89%;10.00%;-0.02%;-16.69%;-12.69%;0.06%;-2.53%;-0.19%;-13.50%
2023;0.00%;15.57%;0.00%;25.00%;-11.11%;12.50%;0.00%;11.11%;-0.04%;2.06%;7.82%;-1.82%;73.35%
2024;0.00%;-6.20%;6.61%;11.11%;0.00%;0.00%;0.00%;0.00%;-13.35%;-9.60%;-14.87%;-0.02%;-25.93%
