;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;-3.21%;-19.56%;29.36%;41.13%;5.53%;3.33%;16.59%;0.40%;2.76%;0.38%;-4.58%;78.57%
2008;-12.40%;13.01%;-16.77%;18.20%;10.43%;-14.88%;-1.75%;-12.72%;-31.48%;-16.13%;-19.24%;22.39%;-55.40%
2009;10.76%;-14.98%;23.24%;59.20%;9.03%;-5.21%;24.47%;4.53%;6.14%;1.36%;20.81%;-4.17%;209.42%
2010;-12.99%;7.73%;-8.41%;7.77%;-4.07%;-0.46%;22.83%;-3.63%;11.70%;5.56%;-2.30%;-2.21%;17.80%
2011;-9.25%;-1.41%;-0.22%;1.87%;7.14%;-11.21%;-7.05%;-4.16%;-21.71%;30.67%;-16.10%;-12.20%;-41.93%
2012;20.00%;3.67%;-14.03%;-28.68%;-25.33%;4.46%;-2.85%;15.25%;-2.80%;-10.47%;-11.99%;9.97%;-43.90%
2013;-4.53%;1.58%;-3.12%;-27.01%;1.76%;-9.52%;-11.96%;25.00%;6.96%;-17.07%;-17.65%;7.74%;-45.32%
2014;-7.73%;-9.58%;-4.64%;-4.86%;13.14%;-5.81%;-0.68%;2.76%;-26.17%;10.91%;-9.02%;-22.52%;-52.49%
2015;-38.37%;-11.32%;6.38%;14.59%;-28.85%;-2.70%;-33.33%;-62.50%;-33.33%;-32.00%;-25.98%;7.95%;-95.82%
2016;23.93%;266.34%;-39.19%;-24.22%;-28.74%;1.65%;43.32%;-9.32%;-25.86%;21.85%;-42.76%;-28.31%;-26.99%
2017;200.84%;-44.69%;11.62%;-9.50%;1.50%;-6.90%;11.11%;0.95%;16.04%;-4.47%;-0.00%;-3.40%;90.76%
2018;-5.29%;-9.77%;-17.53%;3.12%;-20.61%;-23.66%;-12.00%;-32.95%;-25.42%;131.82%;14.71%;-5.13%;-51.10%
2019;-24.32%;-13.10%;0.00%;-26.58%;-15.11%;52.97%;-7.33%;-19.07%;3.64%;-2.77%;-6.27%;49.90%;-33.42%
2020;4.19%;-23.51%;-40.75%;7.45%;-8.53%;45.77%;-8.80%;-12.06%;-6.73%;-6.42%;12.00%;1.02%;-46.41%
2021;41.92%;-9.25%;5.67%;5.41%;22.83%;-0.58%;-45.94%;-37.80%;-26.29%;9.94%;-22.34%;-6.85%;-65.47%
2022;7.35%;-13.70%;29.37%;-15.34%;-5.80%;-30.00%;-6.59%;1.18%;-18.60%;-21.43%;-69.09%;-29.41%;-91.18%
2023;11566.67%;-28.57%;-57.30%;25.53%;-3.92%;19.42%;-8.13%;-27.08%;-0.49%;-1.22%;0.00%;0.00%;3275.00%
