;Date;Close;High;Low;Open;Volume;Retornos
0;2024-09-03;40936.9296875;41489.671875;40778.08984375;41489.671875;420530000;
1;2024-09-04;40974.96875;41172.58984375;40840.890625;40872.05859375;359380000;0.09
2;2024-09-05;40755.75;41084.78125;40519.078125;41056.328125;331250000;-0.54
3;2024-09-06;40345.41015625;41009.390625;40297.328125;40756.80859375;370440000;-1.01
4;2024-09-09;40829.58984375;41000.23828125;40518.05859375;40555.109375;376720000;1.2
5;2024-09-10;40736.9609375;40916.5;40417.48046875;40916.5;360950000;-0.23
6;2024-09-11;40861.7109375;40903.6796875;39993.0703125;40638.76171875;356040000;0.31
7;2024-09-12;41096.76953125;41107.3515625;40665.53125;40862.109375;289300000;0.58
8;2024-09-13;41393.78125;41533.83984375;41128.69921875;41153.69921875;276800000;0.72
9;2024-09-16;41622.078125;41733.96875;41435.171875;41435.171875;408670000;0.55
10;2024-09-17;41606.1796875;41835.28125;41470.69140625;41723.78125;448610000;-0.04
11;2024-09-18;41503.1015625;41981.96875;41449.0;41628.91015625;383600000;-0.25
12;2024-09-19;42025.19140625;42160.91015625;41832.08984375;41972.55859375;429760000;1.26
13;2024-09-20;42063.359375;42138.41015625;41865.94921875;41959.4296875;1207660000;0.09
14;2024-09-23;42124.6484375;42190.05078125;42012.21875;42060.3984375;455200000;0.15
15;2024-09-24;42208.21875;42281.05859375;42056.8203125;42234.98828125;401020000;0.2
16;2024-09-25;41914.75;42299.640625;41859.73046875;42236.08984375;374960000;-0.7
17;2024-09-26;42175.109375;42224.1484375;42036.28125;42113.421875;353600000;0.62
18;2024-09-27;42313.0;42628.3203125;42227.94921875;42227.94921875;329840000;0.33
19;2024-09-30;42330.1484375;42347.66015625;41929.0703125;42289.75;354430000;0.04
20;2024-10-01;42156.96875;42322.359375;41945.62890625;42262.96875;380240000;-0.41
21;2024-10-02;42196.51953125;42259.51953125;41968.7890625;42125.140625;301760000;0.09
22;2024-10-03;42011.58984375;42125.83984375;41847.80859375;42099.53125;267260000;-0.44
23;2024-10-04;42352.75;42361.37890625;41972.109375;42248.26171875;296550000;0.81
24;2024-10-07;41954.23828125;42293.640625;41831.73828125;42289.51171875;307230000;-0.94
25;2024-10-08;42080.37109375;42128.55859375;41874.71875;42022.6484375;284500000;0.3
26;2024-10-09;42512.0;42562.01171875;41993.3515625;42070.3203125;267400000;1.03
27;2024-10-10;42454.12109375;42511.37109375;42308.0390625;42511.37109375;245570000;-0.14
28;2024-10-11;42863.859375;42899.75;42507.53125;42507.53125;265330000;0.97
29;2024-10-14;43065.21875;43139.0;42707.140625;42800.890625;240050000;0.47
30;2024-10-15;42740.421875;43277.78125;42703.171875;43240.171875;360880000;-0.75
31;2024-10-16;43077.69921875;43100.83984375;42692.37109375;42706.48828125;297510000;0.79
32;2024-10-17;43239.05078125;43289.76171875;43119.80859375;43119.80859375;267370000;0.37
33;2024-10-18;43275.91015625;43325.08984375;43036.3515625;43187.12109375;295500000;0.09
34;2024-10-21;42931.6015625;43310.87109375;42877.5703125;43222.2109375;273590000;-0.8
35;2024-10-22;42924.890625;43041.05078125;42718.26171875;42876.83984375;335200000;-0.02
36;2024-10-23;42514.94921875;42834.3984375;42293.171875;42834.3984375;356610000;-0.96
37;2024-10-24;42374.359375;42522.55078125;42191.828125;42522.55078125;282680000;-0.33
38;2024-10-25;42114.3984375;42594.640625;42051.390625;42477.51171875;314000000;-0.61
39;2024-10-28;42387.5703125;42476.4609375;42264.5390625;42264.5390625;284770000;0.65
40;2024-10-29;42233.05078125;42491.859375;42171.6484375;42323.48046875;373550000;-0.36
41;2024-10-30;42141.5390625;42457.921875;42141.5390625;42249.80859375;377420000;-0.22
42;2024-10-31;41763.4609375;41991.91015625;41704.62890625;41956.33984375;497370000;-0.9
43;2024-11-01;42052.19140625;42326.30859375;41869.8203125;41869.8203125;531350000;0.69
44;2024-11-04;41794.6015625;42035.87109375;41647.30078125;42004.66015625;341500000;-0.61
45;2024-11-05;42221.87890625;42258.83984375;41766.9609375;41835.48828125;283990000;1.02
46;2024-11-06;43729.9296875;43778.78125;42850.3984375;42850.3984375;550400000;3.57
47;2024-11-07;43729.33984375;43823.1015625;43641.921875;43718.921875;437510000;-0.0
48;2024-11-08;43988.98828125;44157.2890625;43733.859375;43768.53125;454570000;0.59
49;2024-11-11;44293.12890625;44486.69921875;44057.6484375;44057.6484375;451940000;0.69
50;2024-11-12;43910.98046875;44405.73046875;43887.26953125;44359.2109375;482720000;-0.86
51;2024-11-13;43958.19140625;44141.328125;43829.98046875;43880.4609375;500190000;0.11
52;2024-11-14;43750.859375;44080.78125;43704.8203125;44032.37890625;545090000;-0.47
53;2024-11-15;43444.98828125;43647.53125;43350.4296875;43587.9296875;664320000;-0.7
54;2024-11-18;43389.6015625;43505.66015625;43297.5703125;43431.890625;527180000;-0.13
55;2024-11-19;43268.94140625;43380.96875;42938.87109375;43243.26953125;497970000;-0.28
56;2024-11-20;43408.46875;43465.76953125;43074.859375;43296.05078125;559010000;0.32
57;2024-11-21;43870.3515625;44020.30859375;43345.578125;43538.69921875;712120000;1.06
58;2024-11-22;44296.51171875;44323.94921875;43871.62890625;43871.62890625;533010000;0.97
59;2024-11-25;44736.5703125;44815.671875;44385.48828125;44385.48828125;826660000;0.99
60;2024-11-26;44860.30859375;44903.01171875;44426.66015625;44614.890625;476170000;0.28
61;2024-11-27;44722.05859375;45003.05859375;44690.23046875;44837.75;451360000;-0.31
62;2024-11-29;44910.6484375;45071.2890625;44760.05078125;44760.05078125;319210000;0.42
63;2024-12-02;44782.0;45001.66015625;44710.16015625;44925.859375;439740000;-0.29
64;2024-12-03;44705.53125;44914.6796875;44574.78125;44769.578125;429130000;-0.17
65;2024-12-04;45014.0390625;45073.62890625;44799.73828125;44941.05078125;554420000;0.69
66;2024-12-05;44765.7109375;45059.94140625;44747.140625;45038.44140625;457340000;-0.55
67;2024-12-06;44642.51953125;44923.73828125;44596.4609375;44824.2890625;466910000;-0.28
68;2024-12-09;44401.9296875;44728.51171875;44382.828125;44637.96875;503920000;-0.54
69;2024-12-10;44247.828125;44470.83984375;44186.66015625;44291.5703125;482660000;-0.35
70;2024-12-11;44148.55859375;44376.1796875;44135.73828125;44300.41015625;512650000;-0.22
71;2024-12-12;43914.12109375;44208.6015625;43903.26953125;44168.66015625;396050000;-0.53
72;2024-12-13;43828.05859375;44054.23046875;43790.48046875;43929.1484375;455380000;-0.2
73;2024-12-16;43717.48046875;43951.578125;43686.8515625;43825.76171875;579350000;-0.25
74;2024-12-17;43449.8984375;43656.46875;43336.21875;43656.46875;593670000;-0.61
75;2024-12-18;42326.87109375;43688.96875;42300.0390625;43459.71875;627570000;-2.58
76;2024-12-19;42342.23828125;42787.8515625;42334.12890625;42464.12890625;560200000;0.04
77;2024-12-20;42840.26171875;43216.03125;42146.328125;42296.26171875;1121300000;1.18
78;2024-12-23;42906.94921875;42957.7890625;42516.87109375;42800.48828125;449390000;0.16
79;2024-12-24;43297.03125;43297.6484375;42871.76171875;42916.48046875;230410000;0.91
80;2024-12-26;43325.80078125;43373.98046875;43115.08984375;43201.8515625;270350000;0.07
81;2024-12-27;42992.2109375;43238.8515625;42761.55859375;43142.37109375;376960000;-0.77
82;2024-12-30;42573.73046875;42863.859375;42263.51171875;42863.859375;383300000;-0.97
83;2024-12-31;42544.21875;42779.69140625;42421.2890625;42636.69921875;359210000;-0.07
84;2025-01-02;42392.26953125;42905.08984375;42174.80078125;42660.08984375;459850000;-0.36
85;2025-01-03;42732.12890625;42782.76171875;42436.921875;42495.76171875;455810000;0.8
86;2025-01-06;42706.55859375;43115.30859375;42611.16015625;42835.51953125;557040000;-0.06
87;2025-01-07;42528.359375;42931.5390625;42380.75;42809.7109375;621630000;-0.42
88;2025-01-08;42635.19921875;42656.21875;42327.7890625;42542.1015625;463430000;0.25
89;2025-01-10;41938.44921875;42540.2890625;41877.30078125;42540.2890625;543810000;-1.63
90;2025-01-13;42297.12109375;42319.6015625;41844.890625;41924.6796875;500190000;0.86
91;2025-01-14;42518.28125;42544.5703125;42157.03125;42366.421875;454650000;0.52
92;2025-01-15;43221.55078125;43323.48828125;42927.76171875;42927.76171875;479110000;1.65
93;2025-01-16;43153.12890625;43294.80859375;43081.75;43290.25;504270000;-0.16
94;2025-01-17;43487.828125;43653.25;43312.55078125;43312.55078125;554870000;0.78
95;2025-01-21;44025.80859375;44050.12890625;43528.6484375;43528.6484375;592210000;1.24
96;2025-01-22;44156.73046875;44208.33984375;44042.109375;44178.05859375;588430000;0.3
97;2025-01-23;44565.0703125;44565.26171875;44113.55078125;44113.55078125;444180000;0.92
98;2025-01-24;44424.25;44545.51953125;44332.21875;44533.75;532230000;-0.32
